analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1060,6.49340189084634e-06,3.294510220186453e-10,6.872230306907291e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1080,6.585491997312576e-06,3.320959340857854e-10,6.856083733082361e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1100,5.3564786864624345e-06,2.2457480319815204e-10,5.678003100560886e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1120,5.732315419523406e-06,2.5285976090749784e-10,5.991934992413482e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1140,4.629383626606881e-06,1.6950704728735388e-10,4.9587033706236266e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1160,4.83792227484806e-06,1.796372495199705e-10,5.039394346573284e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1180,4.123995412512606e-06,1.3619388949948075e-10,4.472429812063641e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1200,4.066894169253047e-06,1.2667947246747246e-10,4.223510951778787e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1220,3.6201231581548933e-06,1.0550760265459758e-10,3.947254337620438e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1240,3.520612861620905e-06,9.574435688719518e-11,3.684541025229761e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1260,3.0741887669359386e-06,7.57131579653958e-11,3.3366738167824824e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1280,3.1264953680594644e-06,7.682637859218744e-11,3.327033155668802e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1300,2.5921919031551416e-06,5.324768403980329e-11,2.783432512691218e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1320,2.7413085607926984e-06,5.992659146691892e-11,2.9586615453833484e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1340,2.2802586275538227e-06,4.104741546662183e-11,2.4375988751383116e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1360,2.3039728850501097e-06,4.255762409144381e-11,2.5003638599934117e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1380,2.109608082453657e-06,3.5427660804998595e-11,2.271649327765236e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1400,1.8706432324126273e-06,2.7979729644300733e-11,2.0257993050636903e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1420,1.9516710221842792e-06,3.0630442626744525e-11,2.1212682101765735e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1440,1.5516705925370303e-06,1.919750469703274e-11,1.6762601333139e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1460,1.7220555859682401e-06,2.3969548568203436e-11,1.8804712221482134e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1480,1.393537438201968e-06,1.5562273691926976e-11,1.5124444173678116e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1500,1.4334551961196085e-06,1.6625506527034872e-11,1.5666799293797797e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1520,1.318610503746644e-06,1.4030498984851647e-11,1.439790209092758e-05
