algorithm,sparsity,hidden_nodes,computational_time_seconds,epsilon,converged,iterations,final_gradient_norm,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,alpha,beta
Nesterov,0.5,4000,5.204474208003376,0.001,True,1857,0.0009999533864318555,4001,1000,350,100,4,0.005,1118.0712122349814,0.005,223614.24244699627,0.0008943974132032596,0.9957795104522342
LDLT,0.5,4000,8.798656500002835,0.001,True,0,3.1732631057901204e-14,4001,1000,350,100,4,0.005,1118.0712122349814,0.005,223614.24244699627,,
Heavy Ball,0.5,8000,19.831559749989538,0.001,True,3057,0.0009009512352093164,8001,1000,350,100,4,0.005,2201.383851292757,0.005,440276.77025855135,0.0018115743586276554,0.9939897981853735
Nesterov,0.5,8000,16.802608375001,0.001,True,2755,0.0009975143226045012,8001,1000,350,100,4,0.005,2201.383851292757,0.005,440276.77025855135,0.0004542597145939599,0.9969903701567902
LDLT,0.5,8000,52.90578433399787,0.001,True,0,3.5164774898516494e-14,8001,1000,350,100,4,0.005,2201.383851292757,0.005,440276.77025855135,,
Heavy Ball,0.5,16000,56.67788337499951,0.001,True,4507,0.0009199097556553472,16001,1000,350,100,4,0.005,4460.07292470161,0.005,892014.584940322,0.0008949501721984458,0.9957737533650959
Nesterov,0.5,16000,54.7706655410002,0.001,True,4042,0.000998557155022194,16001,1000,350,100,4,0.005,4460.07292470161,0.005,892014.584940322,0.0002242115805913426,0.9978846393071175
LDLT,0.5,16000,311.2291174999991,0.001,True,0,1.041557032036961e-13,16001,1000,350,100,4,0.005,4460.07292470161,0.005,892014.584940322,,
Heavy Ball,0.9,500,0.1956170000048587,0.001,True,630,0.0008466152033400153,501,1000,350,100,4,0.005,135.38111049712558,0.005,27076.222099425115,0.029190348209394427,0.9759838540633228
Nesterov,0.9,500,0.1926472909981385,0.001,True,650,0.00099676320373958,501,1000,350,100,4,0.005,135.38111049712558,0.005,27076.222099425115,0.0073865548622548205,0.9879189511611379
LDLT,0.9,500,0.17474787500395905,0.001,True,0,3.8709124932571475e-15,501,1000,350,100,4,0.005,135.38111049712558,0.005,27076.222099425115,,
Heavy Ball,0.9,1000,0.6360330419993261,0.001,True,945,0.0005897838797555899,1001,1000,350,100,4,0.005,270.2586877897719,0.005,54051.73755795438,0.014674128469769633,0.9829420376704114
Nesterov,0.9,1000,0.6647147080075229,0.001,True,971,0.0009956827256794906,1001,1000,350,100,4,0.005,270.2586877897719,0.005,54051.73755795438,0.0037001585709536093,0.9914343335140313
LDLT,0.9,1000,0.5515922909980873,0.001,True,0,9.741294118808904e-15,1001,1000,350,100,4,0.005,270.2586877897719,0.005,54051.73755795438,,
Heavy Ball,0.9,2000,1.8131229159916984,0.001,True,1339,0.0008384276458330267,2001,1000,350,100,4,0.005,538.0376580139764,0.005,107607.53160279528,0.007389303385484903,0.987880217198986
Nesterov,0.9,2000,1.9146762080054032,0.001,True,1452,0.0009985621886303227,2001,1000,350,100,4,0.005,538.0376580139764,0.005,107607.53160279528,0.0018586059639231114,0.9939216353410293
LDLT,0.9,2000,2.018486542001483,0.001,True,0,1.3828721917608102e-14,2001,1000,350,100,4,0.005,538.0376580139764,0.005,107607.53160279528,,
Heavy Ball,0.9,4000,5.374782833998324,0.001,True,1875,0.0009034488230609902,4001,1000,350,100,4,0.005,1043.5836925422798,0.005,208716.73850845595,0.003816221295157635,0.9912826959327805
Nesterov,0.9,4000,6.761906083003851,0.001,True,2127,0.0009984462512591522,4001,1000,350,100,4,0.005,1043.5836925422798,0.005,208716.73850845595,0.0009582365143747069,0.9956318074131524
LDLT,0.9,4000,9.196444041997893,0.001,True,0,2.1360230245711012e-14,4001,1000,350,100,4,0.005,1043.5836925422798,0.005,208716.73850845595,,
Heavy Ball,0.9,8000,15.809326999995392,0.001,True,2726,0.0007751002229180956,8001,1000,350,100,4,0.005,2201.935535557393,0.005,440387.1071114786,0.001811121160340861,0.9939905488801413
Nesterov,0.9,8000,19.789005917002214,0.001,True,3225,0.0009991250492330538,8001,1000,350,100,4,0.005,2201.935535557393,0.005,440387.1071114786,0.00045414590202653786,0.9969907466371698
LDLT,0.9,8000,53.479261792002944,0.001,True,0,5.32371762525316e-14,8001,1000,350,100,4,0.005,2201.935535557393,0.005,440387.1071114786,,
Heavy Ball,0.9,16000,51.11877075000666,0.001,True,4176,0.0006259948731060866,16001,1000,350,100,4,0.005,4323.364741168088,0.005,864672.9482336175,0.0009232185617674716,0.9957075972151042
Nesterov,0.9,16000,53.52968837499793,0.001,True,4644,0.000999921966441876,16001,1000,350,100,4,0.005,4323.364741168088,0.005,864672.9482336175,0.0002313013265981856,0.9978514905611476
LDLT,0.9,16000,369.37078570900485,0.001,True,0,4.7572419956468206e-14,16001,1000,350,100,4,0.005,4323.364741168088,0.005,864672.9482336175,,
