analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,method_type,beta_rule,converged,iterations,time_seconds,final_gradient_norm,objective_gap_to_reference,relative_error_to_reference,relative_error_to_ldlt,train_accuracy,test_accuracy,q_dimension,n_train,n_test,n_features,n_classes,hidden_width,total_output_weights,lambda_reg,estimated_L,mu,condition_number
beta_fixed_vs_variable,synthetic_sparse,sparse_zero_0_7_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,scratch,variable beta,True,3934,0.9821747499954654,9.906400569546622e-07,1.525091164467085e-11,2.6077165686637134e-05,2.6077165686618588e-05,0.937,0.52,101,1000,350,100,100,100,10000,0.005,26.748702892031982,0.005,5349.740578406397
beta_fixed_vs_variable,synthetic_sparse,sparse_zero_0_7_hidden_250,hidden_width,250,1e-06,Nesterov,scratch,constant beta,True,1278,0.735813874998712,9.966411834020392e-07,1.0101697256459374e-11,1.2423036953385596e-05,1.2423036954345269e-05,0.997,0.6914285714285714,251,1000,350,100,100,250,25000,0.005,72.63755641979283,0.005,14527.511283958565
beta_fixed_vs_variable,synthetic_sparse,sparse_zero_0_7_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,scratch,variable beta,True,13190,9.866768584004603,9.98187391959739e-07,2.4111546093052993e-11,2.5967728129181383e-05,2.5967728128399734e-05,0.997,0.6914285714285714,251,1000,350,100,100,250,25000,0.005,72.63755641979283,0.005,14527.511283958565
beta_fixed_vs_variable,synthetic_sparse,sparse_zero_0_7_hidden_500,hidden_width,500,1e-06,Nesterov,scratch,constant beta,True,1879,72.46689554200566,9.951280058237339e-07,1.116709502646529e-11,1.0154519135804265e-05,1.015451913425851e-05,1.0,0.6714285714285714,501,1000,350,100,100,500,50000,0.005,144.28617154773758,0.005,28857.234309547515
beta_fixed_vs_variable,synthetic_sparse,sparse_zero_0_7_hidden_500,hidden_width,500,1e-06,Nesterov variable beta,scratch,variable beta,False,20000,98.06080233299872,4.154633487225749e-06,6.401287555579671e-10,0.00011336971112084028,0.00011336971112524756,1.0,0.6714285714285714,501,1000,350,100,100,500,50000,0.005,144.28617154773758,0.005,28857.234309547515
beta_fixed_vs_variable,wine,real_dataset_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,361,0.0047297090059146285,9.915675708731644e-07,1.8941865437271943e-11,3.5555019841518545e-05,3.555501984808305e-05,1.0,0.9629629629629629,101,124,54,13,3,100,300,0.01,13.017260423009516,0.01,1301.7260423009516
beta_fixed_vs_variable,wine,real_dataset_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,scratch,variable beta,True,3569,0.05120391599484719,9.97377593612164e-07,3.7458203205886775e-11,6.162505150118067e-05,6.162505149454857e-05,1.0,0.9629629629629629,101,124,54,13,3,100,300,0.01,13.017260423009516,0.01,1301.7260423009516
beta_fixed_vs_variable,wine,real_dataset_hidden_250,hidden_width,250,1e-06,Nesterov,scratch,constant beta,True,587,0.029446332991938107,9.839008885845066e-07,1.2217490907850959e-11,2.6259887492959823e-05,2.6259887494698463e-05,1.0,0.9814814814814815,251,124,54,13,3,250,750,0.01,33.37948177113183,0.01,3337.9481771131827
beta_fixed_vs_variable,wine,real_dataset_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,scratch,variable beta,True,7034,0.3661991249973653,9.994088783253724e-07,3.25231647169133e-11,5.800799739705831e-05,5.8007997397219756e-05,1.0,0.9814814814814815,251,124,54,13,3,250,750,0.01,33.37948177113183,0.01,3337.9481771131827
beta_fixed_vs_variable,wine,real_dataset_hidden_500,hidden_width,500,1e-06,Nesterov,scratch,constant beta,True,796,0.0950098750035977,9.920479449332504e-07,7.986547187477377e-12,2.1087168545702128e-05,2.1087168543965676e-05,1.0,0.9814814814814815,501,124,54,13,3,500,1500,0.01,61.027430686145664,0.01,6102.743068614566
beta_fixed_vs_variable,wine,real_dataset_hidden_500,hidden_width,500,1e-06,Nesterov variable beta,scratch,variable beta,True,9416,1.8706155420077266,9.987739476069475e-07,2.764878690580952e-11,5.712642363285257e-05,5.7126423633214996e-05,1.0,0.9814814814814815,501,124,54,13,3,500,1500,0.01,61.027430686145664,0.01,6102.743068614566
beta_fixed_vs_variable,digits,real_dataset_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,409,0.017497791995992884,9.95082511727704e-07,1.4543977133740782e-11,1.9398257040622253e-05,1.9398257042900222e-05,0.9628804751299184,0.9355555555555556,101,1347,450,64,10,100,1000,0.01,15.909069394966732,0.01,1590.9069394966732
beta_fixed_vs_variable,digits,real_dataset_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,scratch,variable beta,True,4315,0.19471608399180695,9.985113115175813e-07,3.003378101773535e-11,3.494550222363706e-05,3.494550222508595e-05,0.9628804751299184,0.9355555555555556,101,1347,450,64,10,100,1000,0.01,15.909069394966732,0.01,1590.9069394966732
beta_fixed_vs_variable,digits,real_dataset_hidden_250,hidden_width,250,1e-06,Nesterov,scratch,constant beta,True,660,0.6914211249968503,9.98810480409194e-07,1.4662368541529247e-11,1.8414840120960152e-05,1.8414840122392095e-05,0.9888641425389755,0.9688888888888889,251,1347,450,64,10,250,2500,0.01,38.816711969848186,0.01,3881.6711969848184
beta_fixed_vs_variable,digits,real_dataset_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,scratch,variable beta,True,9670,7.224219916999573,9.98945800438407e-07,3.3327909876312845e-11,3.537412389454965e-05,3.537412389532449e-05,0.9888641425389755,0.9688888888888889,251,1347,450,64,10,250,2500,0.01,38.816711969848186,0.01,3881.6711969848184
beta_fixed_vs_variable,digits,real_dataset_hidden_500,hidden_width,500,1e-06,Nesterov,scratch,constant beta,True,936,7.094955458000186,9.913037671146427e-07,1.1770917573983297e-11,1.5626150602970916e-05,1.562615060671067e-05,0.9955456570155902,0.9688888888888889,501,1347,450,64,10,500,5000,0.01,74.4954209526146,0.01,7449.5420952614595
beta_fixed_vs_variable,digits,real_dataset_hidden_500,hidden_width,500,1e-06,Nesterov variable beta,scratch,variable beta,True,16433,46.59993170898815,9.999183993108356e-07,3.448069607614457e-11,3.579879144479265e-05,3.579879145027725e-05,0.9955456570155902,0.9688888888888889,501,1347,450,64,10,500,5000,0.01,74.4954209526146,0.01,7449.5420952614595
