analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12320,4.4967535938202815e-06,3.4789760378073353e-09,0.0003116598825431105
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12340,4.537913738625856e-06,3.456747693642015e-09,0.00030827152186774595
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12360,4.493018052650556e-06,3.284726796115578e-09,0.0002981531950592235
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12380,4.34294360500588e-06,2.973666077266124e-09,0.0002816999844907388
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12400,4.083965149673076e-06,2.560449186006508e-09,0.00025989621699738254
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12420,3.7372679045588234e-06,2.105657342932332e-09,0.00023444632496711441
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12440,3.357457101253337e-06,1.6837821137372089e-09,0.00020794023803008432
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12460,3.0361078467736696e-06,1.3674987808798278e-09,0.0001839841686209103
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12480,2.882802235202716e-06,1.2101151747323513e-09,0.0001669445808263975
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12500,2.9614528489878733e-06,1.2316388325883665e-09,0.00016054262157381543
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12520,3.232164740183465e-06,1.4131792125393616e-09,0.00016544465427015766
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12540,3.585926856160567e-06,1.701842777812601e-09,0.0001785853764321548
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12560,3.916471801037448e-06,2.0248568655123478e-09,0.00019540575423098775
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12580,4.151577206840137e-06,2.308667201855741e-09,0.00021208775263562935
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12600,4.254821245818974e-06,2.497259649070216e-09,0.0002262382088172946
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12620,4.220787606206159e-06,2.564435205854032e-09,0.00023675097161141652
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12640,4.070322026877628e-06,2.5169578782291424e-09,0.00024350839305247476
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12660,3.84571526596394e-06,2.388541461839644e-09,0.00024709382618890065
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12680,3.604058320311318e-06,2.2274286859413905e-09,0.00024851103786933845
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12700,3.4060651664322536e-06,2.0819015400519447e-09,0.00024889221060659034
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12720,3.2987069581996553e-06,1.9880407042816017e-09,0.00024920801327751456
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12740,3.297481084413417e-06,1.9626577724141114e-09,0.00025003173889308767
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12760,3.3824728427756854e-06,2.0022809105180173e-09,0.00025142410070925293
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12780,3.5130765104228808e-06,2.087213901713625e-09,0.00025297230622016887
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12800,3.6476482110865266e-06,2.1885828149770248e-09,0.00025395292505301693
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12820,3.7549733521048364e-06,2.276078645002677e-09,0.00025354378801036145
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12840,3.816916891877739e-06,2.3245627367440846e-09,0.00025101512132268844
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12860,3.826870940238735e-06,2.318454858651897e-09,0.00024586591262825607
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12880,3.7872452197688422e-06,2.2535501520426493e-09,0.00023790505712866137
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12900,3.707132432293807e-06,2.136464255508841e-09,0.00022729342628213036
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12920,3.600168550171563e-06,1.9822634644839354e-09,0.00021456537990010663
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12940,3.482275752431637e-06,1.811031921650219e-09,0.00020064196242197395
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12960,3.3691164960450814e-06,1.6441828454283325e-09,0.00018683224045512687
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,12980,3.273540576607817e-06,1.5012313892004414e-09,0.00017478570193649363
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13000,3.2038057738289698e-06,1.3975132301391469e-09,0.00016630748592778817
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13020,3.1633865593841435e-06,1.3429943129805721e-09,0.0001629413498067677
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13040,3.1523996852418572e-06,1.3419809846704212e-09,0.00016540389228430908
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13060,3.1695289600726237e-06,1.3933301873381154e-09,0.00017325503637378499
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13080,3.2128985941754345e-06,1.4907852313728043e-09,0.00018511227341059898
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13100,3.2791770292286424e-06,1.6233060590176152e-09,0.0001991946924872165
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13120,3.361693818522722e-06,1.7755949627273893e-09,0.00021377793061320155
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13140,3.4493012355121933e-06,1.9292240999169152e-09,0.00022741086358816647
