rho,method,epsilon,output_weight_count,condition_number,iteration,relative_gap,grad_norm,objective_value,objective_gap_to_reference,relative_error_to_reference
0.5,Heavy Ball,1e-06,10000,47065.69125903045,300.0,0.00039713334753316287,0.09630157254168531,0.3618122048629213,0.00039713334753316287,0.07052461141165704
0.5,Heavy Ball,1e-06,10000,47065.69125903045,350.0,0.00033947592091015943,0.1423960485506399,0.3617545474362983,0.00033947592091015943,0.04178661304513635
0.5,Heavy Ball,1e-06,10000,47065.69125903045,400.0,0.00020288593980849479,0.1220549256201442,0.36161795745519665,0.00020288593980849479,0.024212179787459577
0.5,Heavy Ball,1e-06,10000,47065.69125903045,450.0,8.46013164704229e-05,0.07787338514306803,0.3614996728318586,8.46013164704229e-05,0.014111911023697974
0.5,Heavy Ball,1e-06,10000,47065.69125903045,500.0,2.1365101061432412e-05,0.0364692802556542,0.3614364366164496,2.1365101061432412e-05,0.009238243905312582
0.5,Nesterov,1e-06,10000,47065.69125903045,0.0,0.13858492848461185,0.8228007590119051,0.5,0.13858492848461185,1.0
0.5,Nesterov,1e-06,10000,47065.69125903045,50.0,0.02547406419606607,0.1346479306676764,0.3868891357114542,0.02547406419606607,0.8036869438350842
0.5,Nesterov,1e-06,10000,47065.69125903045,100.0,0.012078174818742182,0.07081576073034063,0.37349324633413034,0.012078174818742182,0.6542748633231619
0.5,Nesterov,1e-06,10000,47065.69125903045,150.0,0.006738324822533837,0.04430954276244754,0.368153396337922,0.006738324822533837,0.5313095741469933
0.5,Nesterov,1e-06,10000,47065.69125903045,200.0,0.0037752191072375485,0.029301679641549446,0.3651902906226257,0.0037752191072375485,0.4205411285618863
0.5,Nesterov,1e-06,10000,47065.69125903045,250.0,0.0019296671547233135,0.019355254946974675,0.36334473867011147,0.0019296671547233135,0.3269328452515358
0.5,Nesterov,1e-06,10000,47065.69125903045,300.0,0.0010765303115079505,0.013098043517797234,0.3624916018268961,0.0010765303115079505,0.25979097435719894
0.5,Nesterov,1e-06,10000,47065.69125903045,350.0,0.0006291262534701692,0.009267023917819365,0.3620441977688583,0.0006291262534701692,0.21250225226715772
