algorithm,dataset,epsilon,initial_gradient_norm,final_gradient_norm,absolute_gap,relative_gap,computational_time_seconds,number_of_iterations,hidden_layer_size,alpha,beta
Heavy Ball,wine,1e-05,59.64401357395454,0.000561819802476995,9.47428201430317e-11,9.47428201430317e-11,9.206170542020118,3000,16667,0.0019546433855284835,0.9911772766222549
Nesterov,wine,1e-05,59.64401357395454,0.0002361381382411308,2.4064296889307754e-06,2.4064296889307754e-06,10.692172083014157,3000,16667,0.0004908284667627461,0.9955788650941998
PyTorch SGD momentum,wine,1e-05,59.64401357395454,0.0005618198021775236,9.474282000750643e-11,9.474282000750643e-11,3.928730749990791,3000,16667,0.0019546433855284835,0.9911772766222549
PyTorch SGD Nesterov,wine,1e-05,59.64401357395454,0.00023613813824109795,2.406429688930477e-06,2.406429688930477e-06,4.165966000000481,3000,16667,0.0004908284667627461,0.9955788650941998
Heavy Ball,wine,1e-07,59.64401357395454,0.000561819802476995,9.47428201430317e-11,9.47428201430317e-11,9.3247577919974,3000,16667,0.0019546433855284835,0.9911772766222549
Nesterov,wine,1e-07,59.64401357395454,0.0002361381382411308,2.4064296889307754e-06,2.4064296889307754e-06,13.415546709002228,3000,16667,0.0004908284667627461,0.9955788650941998
PyTorch SGD momentum,wine,1e-07,59.64401357395454,0.0005618198021775236,9.474282000750643e-11,9.474282000750643e-11,3.9583939999865834,3000,16667,0.0019546433855284835,0.9911772766222549
PyTorch SGD Nesterov,wine,1e-07,59.64401357395454,0.00023613813824109795,2.406429688930477e-06,2.406429688930477e-06,3.8082329590106383,3000,16667,0.0004908284667627461,0.9955788650941998
Heavy Ball,wine,0.001,133.57484660350266,0.05101859218264911,3.618487836545321e-07,3.618487836545321e-07,16.019631667004433,3000,33333,0.0009993444306367098,0.9936875115561971
Nesterov,wine,0.001,133.57484660350266,0.0018658303362092223,0.00012211373179867285,0.00012211373179867285,15.006316541985143,3000,33333,0.0002506277762886174,0.9968387590559453
PyTorch SGD momentum,wine,0.001,133.57484660350266,0.051018592182691766,3.618487836549929e-07,3.618487836549929e-07,10.464800999994623,3000,33333,0.0009993444306367098,0.9936875115561971
PyTorch SGD Nesterov,wine,0.001,133.57484660350266,0.0018658303362092915,0.00012211373179867117,0.00012211373179867117,11.420664875011425,3000,33333,0.0002506277762886174,0.9968387590559453
Heavy Ball,wine,1e-05,133.57484660350266,0.05101859218264911,3.618487836545321e-07,3.618487836545321e-07,17.13177866701153,3000,33333,0.0009993444306367098,0.9936875115561971
Nesterov,wine,1e-05,133.57484660350266,0.0018658303362092223,0.00012211373179867285,0.00012211373179867285,13.762398291990394,3000,33333,0.0002506277762886174,0.9968387590559453
PyTorch SGD momentum,wine,1e-05,133.57484660350266,0.051018592182691766,3.618487836549929e-07,3.618487836549929e-07,9.840661832975456,3000,33333,0.0009993444306367098,0.9936875115561971
PyTorch SGD Nesterov,wine,1e-05,133.57484660350266,0.0018658303362092915,0.00012211373179867117,0.00012211373179867117,11.433484375011176,3000,33333,0.0002506277762886174,0.9968387590559453
Heavy Ball,wine,1e-07,133.57484660350266,0.05101859218264911,3.618487836545321e-07,3.618487836545321e-07,13.788849208009196,3000,33333,0.0009993444306367098,0.9936875115561971
Nesterov,wine,1e-07,133.57484660350266,0.0018658303362092223,0.00012211373179867285,0.00012211373179867285,14.499671290977858,3000,33333,0.0002506277762886174,0.9968387590559453
